Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events,32,0,2200,2327.4196240945457,1126.2533010012703,3992.9859680123627,10302008.125,1.5990929789181958,0.0,2300,2600,3000,3000,3600,3800,4000,4000,4000,4000,4000
GET,GET /health,143,0,990,1243.3275032378008,2.4341679963981733,3517.183062998811,16.0,7.145946749540688,0.0,990,1700,2000,2100,2600,2700,2900,3300,3500,3500,3500
GET,GET /urls,43,0,1500,1531.444864557057,99.39427199424244,3026.983090006979,1830171.9302325582,2.148781190421326,0.0,1500,2000,2500,2600,2800,2800,3000,3000,3000,3000,3000
GET,GET /users,97,0,1300,1375.2168510520241,65.70041600207333,3454.558220008039,932655.0206185566,4.847250592345781,0.0,1300,1900,2100,2200,2300,2700,3300,3500,3500,3500,3500
POST,POST /urls,87,0,1000,1195.2376657930984,16.24404700123705,3111.70078899886,225.0,4.347534036433845,0.0,1000,1900,2000,2000,2500,2600,2800,3100,3100,3100,3100
POST,POST /users,83,0,970,1105.3784362518043,6.0314449947327375,3499.336194989155,132.0,4.147647414069071,0.0,970,1400,1800,2000,2100,2200,2700,3500,3500,3500,3500
,Aggregated,485,0,1300,1334.5433232885157,2.4341679963981733,3992.9859680123627,1028581.4618556701,24.236252961728905,0.0,1300,1900,2100,2100,2600,2800,3300,3500,4000,4000,4000
