Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events,234,0,510,550.7534633548687,63.97969799581915,1432.3400240100455,625717.4871794871,15.487790707004946,0.0,520,720,810,880,1000,1200,1300,1400,1400,1400,1400
GET,GET /health,787,0,370,413.1287881665407,1.7238950094906613,1203.6454570043134,16.0,52.0892790017645,0.0,370,560,640,690,830,960,1100,1100,1200,1200,1200
GET,GET /urls,300,0,400,451.4854305702708,11.405939992982894,1325.7894679991296,48164.04,19.856141932057625,0.0,410,590,690,730,900,1000,1200,1300,1300,1300,1300
GET,GET /users,489,0,390,440.18240607582754,14.461696991929784,1257.0108479994815,69464.8200408998,32.36551134925393,0.0,390,590,700,750,860,1000,1100,1200,1300,1300,1300
POST,POST /urls,382,0,390,447.52607596014184,19.279607993667014,1428.8348410045728,224.0,25.28348739348671,0.0,400,550,700,740,910,1100,1200,1200,1400,1400,1400
POST,POST /users,408,0,390,446.18354065934517,16.941872003371827,1330.8800689992495,131.0,27.00435302759837,0.0,390,560,690,760,890,1000,1200,1200,1300,1300,1300
,Aggregated,2600,0,390,445.2697454077135,1.7238950094906613,1432.3400240100455,74995.00346153846,172.08656341116608,0.0,390,580,690,750,890,1000,1100,1200,1400,1400,1400
