Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /<short_code>,9050,0,160,153.77103884367096,7.625844998983666,341.30047299549915,259.0,450.9717048736431,0.0,160,190,200,210,230,250,270,290,320,340,340
,Aggregated,9050,0,160,153.77103884367096,7.625844998983666,341.30047299549915,259.0,450.9717048736431,0.0,160,190,200,210,230,250,270,290,320,340,340
