Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events,233,0,300,330.5494125617434,58.66722798964474,1249.8413680004887,630326.3905579399,12.232433053135697,0.0,300,380,410,440,540,620,780,1100,1200,1200,1200
GET,GET /health,1002,0,160,180.3764199758515,3.6529220087686554,1049.1332899982808,16.0,52.604712099750934,0.0,160,220,250,280,350,420,490,660,1000,1000,1000
GET,GET /urls,419,0,200,209.31505643659014,8.168351007043384,916.8342890043277,53919.73508353222,21.997379610574495,0.0,200,260,290,320,390,450,540,560,920,920,920
GET,GET /users,655,0,190,206.64778956814618,9.47039200400468,985.4326480126474,76183.2,34.3873118017334,0.0,190,250,290,320,380,450,500,570,990,990,990
POST,POST /urls,465,0,220,235.9168994194147,19.568627001717687,958.5604690073524,224.0,24.41236639359699,0.0,220,280,330,360,420,500,550,720,960,960,960
POST,POST /users,486,0,180,207.9149984729231,11.98610600840766,975.3487749985652,131.0,25.514860359759435,0.0,180,260,300,330,410,460,520,690,980,980,980
,Aggregated,3260,0,190,212.13513627135734,3.6529220087686554,1249.8413680004887,67344.25521472393,171.14906331855096,0.0,190,260,300,330,400,460,550,670,1000,1200,1200
