Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /urls,3070,0,180,183.44620705926044,16.715670994017273,526.9778549991315,224.0,203.50221763691442,0.0,180,230,260,280,320,340,380,440,510,530,530
POST,POST /users,2468,0,160,173.06212731573382,10.668422997696325,489.3817929987563,131.75729335494327,163.59722251723284,0.0,160,210,250,270,300,330,370,420,490,490,490
,Aggregated,5538,0,170,178.81856010963534,10.668422997696325,526.9778549991315,182.89219934994583,367.09944015414726,0.0,170,220,260,270,310,340,380,420,500,530,530
