Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /urls,3789,0,86,84.83835013348367,11.851770002976991,180.51576300058514,224.0,188.70654380723414,0.0,86,95,100,110,120,130,140,150,170,180,180
POST,POST /users,3019,0,73,71.65040637962008,6.634454010054469,160.09016199677717,131.80158993044054,150.35762886092368,0.0,73,82,88,91,100,110,120,130,150,160,160
,Aggregated,6808,0,80,78.99017119797924,6.634454010054469,180.51576300058514,183.1147179788484,339.0641726681578,0.0,80,90,96,100,110,120,130,140,160,180,180
