Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,GET /events,272,0,290,287.2230429852339,54.837062998558395,715.7578379992628,637437.6029411765,13.53899870712342,0.0,290,340,370,390,460,500,550,600,720,720,720
GET,GET /health,1101,0,160,165.42344180812938,1.870667008915916,499.368836011854,16.0,54.80307932552531,0.0,160,200,240,250,290,340,400,420,500,500,500
GET,GET /urls,432,0,180,180.55391717148774,6.5514790039742365,519.9232840095647,59537.37037037037,21.503115593666607,0.0,180,220,250,270,320,360,430,490,520,520,520
GET,GET /users,696,0,180,183.14411392497402,6.668841000646353,577.6792319957167,82469.78591954023,34.64390845646287,0.0,180,220,250,270,320,370,420,460,580,580,580
POST,POST /urls,550,0,230,228.9299574144322,12.924199996632524,686.1653850064613,224.0,27.376651797492208,0.0,230,270,310,330,380,440,500,530,690,690,690
POST,POST /users,578,0,180,183.19029824961413,8.106644003419206,507.2004240064416,131.0,28.770372252637266,0.0,180,220,250,270,330,380,430,460,510,510,510
,Aggregated,3629,0,190,192.20692796881053,1.870667008915916,715.7578379992628,70740.88647010196,180.6361261329077,0.0,190,240,260,280,340,400,460,500,600,720,720
