Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,POST /urls,3097,0,84,101.5262067968866,13.205904993810691,250.8443319966318,224.0,162.71481744888305,0.0,84,130,140,150,170,190,210,220,240,250,250
POST,POST /users,2523,0,71,88.522926835562,8.478338990244083,241.07630200160202,131.76258422512882,132.55714705312624,0.0,71,120,130,130,150,170,190,200,230,240,240
,Aggregated,5620,0,80,95.68861331958732,8.478338990244083,250.8443319966318,182.59163701067615,295.27196450200927,0.0,81,120,140,140,160,180,200,220,240,250,250
